Datum;Regen_(L/m2_mm);Quellwasser_imNetz_absolut;Quellwasser_imNetz_prozent;Grundwasser_imNetz_absolut;Grundwasser_imNetz_prozent;NiederschlagZweisimmen
21.05.2025;4;4471;91;445;9;7.7
22.05.2025;11;4932;90;558;10;12.7
23.05.2025;1;4709;93;328;7;1.2
24.05.2025;0;4493;93;348;7;0
25.05.2025;3;4350;92;363;8;1.3
26.05.2025;7;4143;77;1269;23;8.9
27.05.2025;0;3757;71;1504;29;0
28.05.2025;9;3905;76;1218;24;7.8
29.05.2025;1;4044;84;750;16;0
30.05.2025;0;4953;96;205;4;0
31.05.2025;4;4605;93;363;7;6.8
01.06.2025;2;4325;96;200;4;2
02.06.2025;7;4865;99;63;1;5.5
03.06.2025;0;4897;99;60;1;0.4
04.06.2025;3;5001;99;70;1;1.9
05.06.2025;2;4793;95;242;5;0.8
06.06.2025;1;3636;69;1671;31;1.6
07.06.2025;29;4635;96;197;4;20.5
08.06.2025;0;4701;100;2;0;0
09.06.2025;0;4959;99;61;1;0
10.06.2025;0;1565;29;3904;71;0
11.06.2025;0;246;4;5295;96;0
12.06.2025;0;3883;68;1834;32;0
13.06.2025;0;4955;84;970;16;1.5
14.06.2025;0;4785;88;651;12;0
15.06.2025;6;4943;100;2;0;1.1
16.06.2025;0;4992;86;798;14;0
17.06.2025;0;4726;75;1561;25;0
18.06.2025;0;4178;61;2616;39;0
19.06.2025;0;3926;60;2614;40;0
20.06.2025;5;4369;68;2063;32;0
21.06.2025;0;4352;77;1309;23;0
22.06.2025;0;5011;91;472;9;0
23.06.2025;0;4563;66;2396;34;0.1
24.06.2025;0;4825;68;2224;32;0
25.06.2025;0;4106;55;3408;45;0
26.06.2025;4;3986;63;2343;37;3.4
27.06.2025;0;4497;67;2193;33;0
28.06.2025;0;4513;69;2023;31;0
29.06.2025;0;4430;72;1690;28;0
30.06.2025;1;4844;67;2390;33;0.3
01.07.2025;20;4294;65;2291;35;13.3
02.07.2025;17;4219;74;1511;26;0
03.07.2025;0;4280;74;1527;26;0
04.07.2025;0;4270;69;1905;31;0
05.07.2025;0;4394;71;1811;29;0
06.07.2025;2;4290;77;1253;23;2.1
07.07.2025;17;4670;80;1162;20;8.3
08.07.2025;12;3719;68;1769;32;4.6
09.07.2025;0;4465;78;1292;22;0
10.07.2025;0;4310;72;1679;28;0
11.07.2025;0;4583;72;1785;28;0
12.07.2025;0;4271;71;1756;29;0
13.07.2025;3;4535;82;1013;18;5.7
14.07.2025;21;3898;67;1907;33;14.3
15.07.2025;0;4161;71;1699;29;0
16.07.2025;3;4054;68;1926;32;0.8
17.07.2025;3;4332;73;1599;27;1.2
18.07.2025;0;4406;69;2015;31;0
19.07.2025;6;4130;71;1704;29;8.1
20.07.2025;12;4140;77;1221;23;20.7
21.07.2025;8;3747;63;2223;37;6.2
22.07.2025;2;4738;80;1158;20;0
23.07.2025;0;4675;79;1272;21;0
24.07.2025;15;3540;63;2079;37;14.7
25.07.2025;3;4238;75;1405;25;0.2
26.07.2025;5;4280;81;984;19;16.2
27.07.2025;18;4036;78;1121;22;18.5
28.07.2025;18;4311;75;1443;25;13.3
29.07.2025;0;4473;78;1232;22;0.1
30.07.2025;0;4561;78;1291;22;0
31.07.2025;0;4829;84;947;16;0
01.08.2025;3;4811;85;882;15;5.4
02.08.2025;18;4458;79;1166;21;16.4
03.08.2025;0;4785;88;666;12;0.1
04.08.2025;0;4778;79;1246;21;0
05.08.2025;0;4772;79;1271;21;0
06.08.2025;0;4958;77;1457;23;0
07.08.2025;0;4419;69;2016;31;0
08.08.2025;0;5155;73;1896;27;0
09.08.2025;0;4790;72;1827;28;0
10.08.2025;0;4683;73;1708;27;0
11.08.2025;0;5053;68;2372;32;0
12.08.2025;0;4653;65;2559;35;0
13.08.2025;0;4242;55;3403;45;0
14.08.2025;4;4671;64;2592;36;0.2
15.08.2025;0;2691;41;3898;59;0
16.08.2025;0;4717;76;1502;24;13.9
17.08.2025;0;4551;79;1242;21;0
18.08.2025;0;4684;71;1913;29;0
19.08.2025;2;4410;73;1591;27;2.3
20.08.2025;24;4308;74;1481;26;19.5
21.08.2025;5;3825;68;1811;32;14
22.08.2025;2;4701;81;1120;19;0.1
23.08.2025;0;4598;81;1091;19;0
24.08.2025;0;4670;82;999;18;0
25.08.2025;0;4809;79;1263;21;0
26.08.2025;0;4429;74;1541;26;2.3
27.08.2025;5;4397;75;1477;25;0.7
28.08.2025;27;4234;77;1235;23;29.5
29.08.2025;7;4116;74;1462;26;4
30.08.2025;4;4774;91;475;9;1.5
31.08.2025;0;4636;92;419;8;0
01.09.2025;25;4775;90;526;10;18
02.09.2025;1;4148;78;1138;22;0.8
03.09.2025;0;5049;95;273;5;0
04.09.2025;12;4821;89;574;11;10.9
05.09.2025;5;4446;80;1129;20;9.5
06.09.2025;0;4648;88;629;12;0
07.09.2025;0;4796;96;211;4;0
08.09.2025;0;4833;91;496;9;1.2
09.09.2025;14;4449;86;718;14;12.3
10.09.2025;5;4652;88;647;12;0.8
11.09.2025;1;4712;89;606;11;0.3
12.09.2025;1;4725;90;515;10;0.2
13.09.2025;2;4539;91;452;9;1.6
14.09.2025;12;4572;95;223;5;8.9
15.09.2025;2;4734;93;337;7;2.6
16.09.2025;5;4569;92;391;8;0
17.09.2025;0;4828;94;281;6;0
18.09.2025;0;4745;94;323;6;0
19.09.2025;0;4724;87;719;13;0
20.09.2025;0;4690;90;500;10;0
21.09.2025;10;4248;86;712;14;10.7
22.09.2025;9;4715;91;441;9;18.4
23.09.2025;2;4594;91;447;9;4.9
24.09.2025;5;4612;94;309;6;9.7
25.09.2025;1;4481;91;469;9;2.1
26.09.2025;10;4744;96;215;4;7.9
27.09.2025;1;4338;93;347;7;0.2
28.09.2025;0;4451;96;208;4;0
29.09.2025;0;4612;91;440;9;0
30.09.2025;0;4561;90;526;10;0
01.10.2025;0;4698;95;272;5;0
02.10.2025;0;4677;95;268;5;0
03.10.2025;0;4666;92;390;8;0
04.10.2025;9;4408;93;317;7;9.4
05.10.2025;7;4285;96;197;4;2.9
06.10.2025;2;4809;99;60;1;0.4
07.10.2025;0;4572;93;352;7;0
08.10.2025;0;4467;92;405;8;0
09.10.2025;0;4505;91;451;9;0
10.10.2025;0;4957;96;207;4;0
11.10.2025;0;4674;89;585;11;0
12.10.2025;0;4328;85;778;15;0
13.10.2025;0;4618;88;633;12;0
14.10.2025;0;4460;89;528;11;0
15.10.2025;0;4099;83;868;17;0
16.10.2025;0;4084;80;1052;20;0
17.10.2025;0;4475;89;566;11;0
18.10.2025;0;4091;88;552;12;0
19.10.2025;0;3958;88;535;12;0
20.10.2025;6;4421;92;398;8;5
21.10.2025;0;4234;87;614;13;0.3
22.10.2025;14;3892;81;903;19;9.5
23.10.2025;35;4137;85;719;15;27.3
24.10.2025;9;4454;92;388;8;4
25.10.2025;22;4327;95;205;5;17.1
26.10.2025;8;4347;95;251;5;1.3
27.10.2025;22;4723;99;62;1;23.9
28.10.2025;0;4486;95;215;5;0
29.10.2025;8;4425;94;268;6;7.4
30.10.2025;8;4282;92;374;8;3.1
31.10.2025;0;4293;91;404;9;0
01.11.2025;1;4461;100;3;0;1
02.11.2025;22;4055;95;202;5;19.7
03.11.2025;1;4604;94;271;6;0
04.11.2025;0;4294;90;495;10;0
05.11.2025;0;4452;94;277;6;0
06.11.2025;0;4337;94;273;6;0
07.11.2025;0;4587;95;224;5;0
08.11.2025;0;4282;91;443;9;0
09.11.2025;0;4357;95;211;5;0
10.11.2025;0;4437;90;506;10;0
11.11.2025;0;4654;99;64;1;0
12.11.2025;0;4401;94;266;6;0
13.11.2025;0;4500;98;72;2;0
14.11.2025;0;4486;95;227;5;0
15.11.2025;4;4395;95;219;5;4.2
16.11.2025;2;4194;95;216;5;1.3
17.11.2025;11;4324;90;493;10;8.6
18.11.2025;0;4560;82;992;18;0
19.11.2025;0;3835;67;1868;33;0
20.11.2025;20;3653;76;1134;24;11.2
21.11.2025;1;5014;85;861;15;2.3
22.11.2025;0;5248;79;1390;21;0
23.11.2025;2;4121;75;1395;25;2.2
24.11.2025;29;4399;95;241;5;29.3
25.11.2025;20;3411;74;1183;26;13.9
26.11.2025;2;4134;89;486;11;4.6
27.11.2025;0;4658;86;737;14;0
28.11.2025;0;3918;67;1919;33;0
29.11.2025;0;4403;94;301;6;0
30.11.2025;3;4866;100;6;0;5.1
01.12.2025;1;4825;94;283;6;0.4
02.12.2025;0;4620;84;871;16;0
03.12.2025;0;3407;69;1560;31;0
04.12.2025;0;4503;81;1034;19;0
05.12.2025;1;3533;64;1986;36;1.7
06.12.2025;0;4613;87;705;13;0.1
07.12.2025;16;4216;86;707;14;13.8
08.12.2025;4;4539;84;877;16;2.6
09.12.2025;0;4967;87;722;13;0
10.12.2025;0;4293;77;1283;23;0
11.12.2025;0;3875;71;1549;29;0
12.12.2025;0;4913;87;703;13;0
13.12.2025;0;5060;91;474;9;0
14.12.2025;0;4738;87;698;13;0
15.12.2025;0;5135;91;536;9;0
16.12.2025;0;5024;87;722;13;0
17.12.2025;0;4982;87;760;13;0
18.12.2025;0;5048;87;770;13;0
19.12.2025;0;4999;84;981;16;0
20.12.2025;0;5038;83;1043;17;0
21.12.2025;0;4934;79;1306;21;0
22.12.2025;0;5131;77;1565;23;0
23.12.2025;0;4980;75;1688;25;0
24.12.2025;0;5075;74;1757;26;0
25.12.2025;0;5125;73;1855;27;0
26.12.2025;0;4993;71;2005;29;0
27.12.2025;0;5172;72;2037;28;0
28.12.2025;0;5035;70;2178;30;0
29.12.2025;0;5050;66;2566;34;0
30.12.2025;0;4759;54;4081;46;0
31.12.2025;0;5152;56;4118;44;0
